first_seen	node_name	fuse_first	n_ids_first	rows
550	ffn_moe_up-21.dst	1	4	4
551	ffn_gate-21.dst	1	4	4
552	ffn_up-21.dst	1	4	4
553	shared_expert_gate-21.dst	1	2	4
554	ffn_moe_down-21.dst	1	4	4
555	ffn_shexp-21.dst	1	4	4
556	ffn_shexp_gated-21.dst	1	4	4
557	ffn_moe_weights_norm-21.dst	1	4	4
558	ffn_moe_weighted-21.dst	1	4	4
559	ffn_moe_out-21.dst	7	4	4
560	l_out-21.dst	2	4	4
561	attn_norm-22.dst	2	4	4
562	node_2131.dst	1	4	4
563	node_2152.dst	1	4	4
564	node_2158.dst	1	4	4
565	node_2154.dst	1	4	4
566	z-22.dst	1	4	4
567	gate-22.dst	1	4	4
568	node_2168.dst	1	4	4
569	node_2172.dst	1	4	4
570	norm-22.dst	1	4	4
571	linear_attn_out-22.dst	1	4	4
572	attn_residual-22.dst	1	4	4
573	attn_post_norm-22.dst	2	4	4
574	ffn_moe_logits_raw-22.dst	1	4	4
575	ffn_moe_gate-22.dst	1	4	4
576	ffn_moe_up-22.dst	1	4	4
577	ffn_gate-22.dst	1	4	4
578	ffn_up-22.dst	1	4	4
579	shared_expert_gate-22.dst	1	2	4
580	ffn_moe_down-22.dst	1	4	4
581	ffn_shexp-22.dst	1	4	4
582	ffn_shexp_gated-22.dst	1	4	4
583	ffn_moe_weights_norm-22.dst	1	4	4
584	ffn_moe_weighted-22.dst	1	4	4
585	ffn_moe_out-22.dst	7	4	4
586	l_out-22.dst	2	4	4
587	attn_norm-23.dst	2	4	4
588	Qcur_full-23.dst	1	4	4
589	Vcur-23.dst	1	4	4
590	Kcur-23.dst	1	4	4
591	Qcur_normed-23.dst	2	4	4
592	Kcur_normed-23.dst	2	4	4
593	node_2253.dst	1	4	4
594	attn_gated-23.dst	1	4	4
595	attn_output-23.dst	1	4	4
596	attn_residual-23.dst	1	4	4
597	attn_post_norm-23.dst	2	4	4
598	ffn_moe_logits_raw-23.dst	1	4	4
599	ffn_moe_gate-23.dst	1	4	4
600	ffn_moe_up-23.dst	1	4	4
601	ffn_gate-23.dst	1	4	4
602	ffn_up-23.dst	1	4	4
603	shared_expert_gate-23.dst	1	2	4
604	ffn_moe_down-23.dst	1	4	4
605	ffn_shexp-23.dst	1	4	4
606	ffn_shexp_gated-23.dst	1	4	4
607	ffn_moe_weights_norm-23.dst	1	4	4
608	ffn_moe_weighted-23.dst	1	4	4
609	ffn_moe_out-23.dst	7	4	4
610	l_out-23.dst	2	4	4
611	attn_norm-24.dst	2	4	4
612	node_2317.dst	1	4	4
613	node_2338.dst	1	4	4
614	node_2344.dst	1	4	4
615	node_2340.dst	1	4	4
616	gate-24.dst	1	4	4
617	z-24.dst	1	4	4
618	attn_residual-24.dst	1	4	4
619	attn_post_norm-24.dst	2	4	4
620	ffn_moe_logits_raw-24.dst	1	4	4
621	node_2354.dst	1	4	4
622	node_2358.dst	1	4	4
623	linear_attn_out-24.dst	1	4	4
624	norm-24.dst	1	4	4
625	ffn_moe_gate-24.dst	1	4	4
626	ffn_moe_up-24.dst	1	4	4
627	ffn_gate-24.dst	1	4	4
628	ffn_up-24.dst	1	4	4
629	shared_expert_gate-24.dst	1	2	4
630	ffn_moe_down-24.dst	1	4	4
631	ffn_shexp-24.dst	1	4	4
632	ffn_shexp_gated-24.dst	1	4	4
633	ffn_moe_weights_norm-24.dst	1	4	4
634	ffn_moe_weighted-24.dst	1	4	4
635	ffn_moe_out-24.dst	7	4	4
636	l_out-24.dst	2	4	4
637	attn_norm-25.dst	2	4	4
638	node_2416.dst	1	4	4
639	node_2437.dst	1	4	4
640	node_2443.dst	1	4	4
641	node_2439.dst	1	4	4
642	gate-25.dst	1	4	4
643	z-25.dst	1	4	4
644	norm-25.dst	1	4	4
645	attn_residual-25.dst	1	4	4
646	attn_post_norm-25.dst	2	4	4
647	ffn_moe_logits_raw-25.dst	1	4	4
648	node_2453.dst	1	4	4
649	node_2457.dst	1	4	4
650	linear_attn_out-25.dst	1	4	4
651	ffn_moe_gate-25.dst	1	4	4
652	ffn_moe_up-25.dst	1	4	4
653	ffn_gate-25.dst	1	4	4
654	ffn_up-25.dst	1	4	4
655	shared_expert_gate-25.dst	1	2	4
656	ffn_moe_down-25.dst	1	4	4
657	ffn_shexp-25.dst	1	4	4
658	ffn_shexp_gated-25.dst	1	4	4
659	ffn_moe_weights_norm-25.dst	1	4	4
660	ffn_moe_weighted-25.dst	1	4	4
661	ffn_moe_out-25.dst	7	4	4
662	l_out-25.dst	2	4	4
663	attn_norm-26.dst	2	4	4
664	node_2515.dst	1	4	4
665	node_2536.dst	1	4	4
666	node_2542.dst	1	4	4
667	node_2538.dst	1	4	4
668	gate-26.dst	1	4	4
669	z-26.dst	1	4	4
670	node_2552.dst	1	4	4
671	node_2556.dst	1	4	4
672	linear_attn_out-26.dst	1	4	4
673	norm-26.dst	1	4	4
674	attn_residual-26.dst	1	4	4
675	attn_post_norm-26.dst	2	4	4
676	ffn_moe_logits_raw-26.dst	1	4	4
677	ffn_moe_gate-26.dst	1	4	4
678	ffn_moe_up-26.dst	1	4	4
679	ffn_gate-26.dst	1	4	4
680	ffn_up-26.dst	1	4	4
681	shared_expert_gate-26.dst	1	2	4
682	ffn_moe_down-26.dst	1	4	4
683	ffn_shexp-26.dst	1	4	4
684	ffn_shexp_gated-26.dst	1	4	4
685	ffn_moe_weights_norm-26.dst	1	4	4
686	ffn_moe_weighted-26.dst	1	4	4
687	ffn_moe_out-26.dst	7	4	4
688	l_out-26.dst	2	4	4
689	attn_norm-27.dst	2	4	4
690	Qcur_full-27.dst	1	4	4
691	Vcur-27.dst	1	4	4
692	Kcur-27.dst	1	4	4
693	Qcur_normed-27.dst	2	4	4
694	Kcur_normed-27.dst	2	4	4
695	node_2637.dst	1	4	4
696	attn_post_norm-27.dst	2	4	4
697	ffn_moe_logits_raw-27.dst	1	4	4
